音频文件：黄埔大道中.m4a
转写模型：whisper.cpp small

[00:00:00 - 00:00:07] 欢迎你来面试的我们这一轮面试官的话首先我是一双平均这位是这个赶回的知识上级应该
[00:19:28 - 00:19:29] 它这种
[00:19:29 - 00:19:31] 嗯
[00:19:31 - 00:19:33] 就可能我自己开放时间赶不上
[00:19:33 - 00:19:35] usboa的变化
[00:19:35 - 00:19:36] 这就可能就没什么
[00:19:36 - 00:19:39] 要为回护鞋的成本比那个
[00:19:39 - 00:19:41] 还要自己手工去点
[00:19:41 - 00:19:41] 还有更大
[00:19:41 - 00:19:43] 就是所以就暂时没有去
[00:19:43 - 00:19:46] 如果是上手的话还是挺快的
[00:19:46 - 00:19:48] 因为现在有这么ai的一个情况
[00:19:48 - 00:19:48] 嗯
[00:19:48 - 00:19:49] 明白
[00:20:01 - 00:20:07] 你之前是怎么去
[00:20:07 - 00:20:09] 保证就是一些人像令单这样
[00:20:09 - 00:20:11] 先提到这里令单支付
[00:20:11 - 00:20:13] 结算这些数据一直行
[00:20:13 - 00:20:14] 你一般怎么去检查呢
[00:20:14 - 00:20:16] 为什么这么加多
[00:20:16 - 00:20:17] 去去去去
[00:20:17 - 00:20:18] 首先
[00:20:18 - 00:20:20] 前台的话
[00:20:20 - 00:20:21] 就前台就下来单之后
[00:20:21 - 00:20:24] 是否定单金额
[00:20:24 - 00:20:25] 是否有那个
[00:20:25 - 00:20:27] 上期耶稣伯服和他那个
[00:20:27 - 00:20:29] 金额一个证确值
[00:20:30 - 00:20:31] 然后看他接口
[00:20:31 - 00:20:33] 然后再去看那接口反回
[00:20:33 - 00:20:38] 是否是一个符合前台的一个情况
[00:20:38 - 00:20:41] 然后最后的话就是看后台
[00:20:41 - 00:20:43] 还有一个后台系统
[00:20:43 - 00:20:46] 看他订单是否也是一致的
[00:20:46 - 00:20:47] 然后最后
[00:20:47 - 00:20:49] 有还有一个服
[00:20:49 - 00:20:50] 还有多个端口
[00:20:50 - 00:20:52] 多个端口有那个服端
[00:20:52 - 00:20:54] 看下服务人员那边的金额情况
[00:20:54 - 00:20:56] 是否符合他的金额
[00:20:56 - 00:20:59] 对跟他的角色
[00:20:59 - 00:21:00] 是否有分到对应的一个钱
[00:21:00 - 00:21:04] 然后看下数据库
[00:21:04 - 00:21:05] 是否有
[00:21:05 - 00:21:07] 是否正确落到那个数据库里面
[00:21:07 - 00:21:10] 对应的库对应的表
[00:21:10 - 00:21:13] 你们当时这个平台这个服务
[00:21:13 - 00:21:14] 他这个
[00:21:14 - 00:21:17] 订单那个钱的
[00:21:17 - 00:21:18] 他就是
[00:21:18 - 00:21:19] 比如我提供一次服务
[00:21:19 - 00:21:20] 他的钱就一次过了
[00:21:20 - 00:21:21] 有没有说那种
[00:21:21 - 00:21:23] 类似于像现在那些
[00:21:23 - 00:21:26] 视频爱奇艺那样
[00:21:26 - 00:21:27] 持续订阅那种
[00:21:27 - 00:21:28] 持续扣费的那种
[00:21:29 - 00:21:29] 模式
[00:21:29 - 00:21:31] 现在
[00:21:31 - 00:21:34] 现在没有
[00:21:34 - 00:21:35] 这个有那个
[00:21:35 - 00:21:36] 相似的话
[00:21:36 - 00:21:37] 就是有那个会员
[00:21:37 - 00:21:39] 我也有的话就定时的去续费
[00:21:39 - 00:21:42] 就先以资讯订阅一个月
[00:21:42 - 00:21:43] 然后过期的时候
[00:21:43 - 00:21:45] 你不要去持续一个续费
[00:21:45 - 00:21:47] 你这个会员的话是
[00:21:47 - 00:21:52] 好
[00:21:52 - 00:21:53] 这里持续会员
[00:21:53 - 00:21:55] 那你们当时这个会员的话
[00:21:55 - 00:21:56] 有没有就是说那
[00:21:56 - 00:21:58] 首阅我给他一个优费
[00:21:58 - 00:22:01] 然后赤月就可能就恢复原价
[00:22:01 - 00:22:01] 这种模式
[00:22:01 - 00:22:06] 这么没有
[00:22:06 - 00:22:08] 就固定一个
[00:22:08 - 00:22:09] 固定新额
[00:22:09 - 00:22:11] 你可以去后台去修改
[00:22:11 - 00:22:12] 他有预会券
[00:22:12 - 00:22:14] 预会券有过时的一个情况
[00:22:14 - 00:22:17] 就也能可以实现这么一个
[00:22:17 - 00:22:18] 首阅有预会吧
[00:22:18 - 00:22:20] 他会有一个限制的
[00:22:20 - 00:22:21] 你第一个月可能
[00:22:21 - 00:22:23] 就他购买那个月有一个
[00:22:23 - 00:22:24] 一个月的一个预会券
[00:22:24 - 00:22:26] 那你去休息一个月
[00:22:26 - 00:22:28] 那预会券就没有了
[00:22:28 - 00:22:29] 然后这么一个
[00:22:29 - 00:22:31] 就是那个券只是针对
[00:22:31 - 00:22:33] 帮第一手刺的额博士说
[00:22:33 - 00:22:35] 整个走期的一个
[00:22:35 - 00:22:35] 进行的一个预会
[00:22:35 - 00:22:38] 明白
[00:22:38 - 00:22:43] 那当时有没有去试过
[00:22:43 - 00:22:44] 就是说
[00:22:44 - 00:22:46] 哎等一下
[00:22:46 - 00:22:47] 他会员自动扣费的话
[00:22:47 - 00:22:49] 他是直接绑他的微信
[00:22:49 - 00:22:50] 相关这类的吗
[00:22:50 - 00:22:51] 可以
[00:22:51 - 00:22:51] 就
[00:22:51 - 00:22:55] 还是支付
[00:22:55 - 00:22:56] 就自动扣费还是没有
[00:22:56 - 00:22:58] 就要自己去
[00:22:58 - 00:22:59] 支付保质付啊
[00:22:59 - 00:22:59] 微信支付啊
[00:22:59 - 00:23:00] 预会支付
[00:23:00 - 00:23:01] 这样这么一个情况
[00:23:01 - 00:23:02] 那其实还不
[00:23:02 - 00:23:04] 也不算是自动扣费了
[00:23:04 - 00:23:05] 只是说用户手
[00:23:05 - 00:23:06] 快到齐了
[00:23:06 - 00:23:07] 自己手东去扫码
[00:23:07 - 00:23:08] 支付去
[00:23:08 - 00:23:08] 对他
[00:23:08 - 00:23:10] 他会提醒你已经过期
[00:23:10 - 00:23:11] 这个有这个
[00:23:11 - 00:23:13] 在界面上有这个一个提示
[00:23:13 - 00:23:15] 那那其实相当于
[00:23:15 - 00:23:17] 你们的支付更多的
[00:23:17 - 00:23:17] 就是那种
[00:23:17 - 00:23:19] 一次性
[00:23:19 - 00:23:20] 一次性的嘛
[00:23:20 - 00:23:21] 就一来一回
[00:23:21 - 00:23:22] 真的
[00:23:22 - 00:23:23] 对对
[00:23:23 - 00:23:24] 了解
[00:23:24 - 00:23:26] 那公司这边的支付是怎么一个
[00:23:27 - 00:23:28] 我们
[00:23:28 - 00:23:30] 看卖的产品吧
[00:23:30 - 00:23:31] 因为我们卖的产品
[00:23:31 - 00:23:32] 有那种终身的
[00:23:32 - 00:23:34] 或者是一次性那种
[00:23:34 - 00:23:35] 类似于说
[00:23:35 - 00:23:36] 几分包的类的
[00:23:36 - 00:23:38] 然后也有一种那种
[00:23:38 - 00:23:39] 持续服务每个月
[00:23:39 - 00:23:40] 用
[00:23:40 - 00:23:41] 因为我们是海外嘛
[00:23:41 - 00:23:43] 他用户就会可能绑了信用卡之后
[00:23:43 - 00:23:44] 后面每个月
[00:23:44 - 00:23:46] 我们是要自动主动去发起购配的
[00:23:46 - 00:23:49] 这个我生活中有
[00:23:49 - 00:23:50] 对应的情况
[00:23:50 - 00:23:51] 像GbT那种订阅
[00:23:51 - 00:23:52] 对
[00:23:52 - 00:23:54] 差不多每个月
[00:23:54 - 00:23:56] 绑一个信用卡去
[00:23:56 - 00:23:57] 有一个像
[00:23:57 - 00:23:59] 配发这种支付的一个情况
[00:23:59 - 00:24:00] 差不多
[00:24:00 - 00:24:01] 然后这种的话
[00:24:01 - 00:24:03] 可能就考虑的比较多了
[00:24:03 - 00:24:04] 可能下个月
[00:24:04 - 00:24:05] 他的里面的钱不够啦
[00:24:05 - 00:24:06] 这类的
[00:24:06 - 00:24:08] 你问你
[00:24:08 - 00:24:09] 像你刚才你这个
[00:24:09 - 00:24:12] 博物平台的话
[00:24:12 - 00:24:13] 用户主动发起的
[00:24:13 - 00:24:14] 他没有钱了
[00:24:14 - 00:24:15] 他直接就很知道
[00:24:15 - 00:24:16] 但是我们
[00:24:16 - 00:24:18] 如果是我们商户是主动去
[00:24:18 - 00:24:19] 发起扣款
[00:24:19 - 00:24:20] 他不够钱的话
[00:24:20 - 00:24:22] 用户是没办法立马直到的
[00:24:22 - 00:24:25] 这个可以去提醒
[00:24:26 - 00:24:26] 是
[00:24:26 - 00:24:27] 短信提醒
[00:24:27 - 00:24:37] 你们当时的话
[00:24:37 - 00:24:37] 你这一期到时候
[00:24:37 - 00:24:40] 安卓苹果
[00:24:40 - 00:24:41] 这几个端都有
[00:24:41 - 00:24:42] 两个端
[00:24:42 - 00:24:43] 对
[00:24:43 - 00:24:45] 这个是金融信的一个测试
[00:24:45 - 00:24:46] 安卓苹果
[00:24:46 - 00:24:48] 明白
[00:24:56 - 00:24:58] 你为什么想做测试啊
[00:24:58 - 00:25:00] 测试
[00:25:00 - 00:25:01] 首先他测试
[00:25:01 - 00:25:03] 从这个职业的话
[00:25:03 - 00:25:05] 就是好入门
[00:25:05 - 00:25:07] 好去了解这个互联网
[00:25:07 - 00:25:08] 然后现在我做
[00:25:08 - 00:25:09] 做下来之后
[00:25:09 - 00:25:09] 我发现测试
[00:25:09 - 00:25:10] 他也是一个
[00:25:10 - 00:25:12] 质量的一个质量
[00:25:12 - 00:25:26] 最后的一个保障
[00:25:26 - 00:25:29] 所以我就测试也是很重要的
[00:25:29 - 00:25:31] 对于整个产品的一个质量的
[00:25:31 - 00:25:33] 最后的一个保障
[00:25:33 - 00:25:35] 那
[00:25:35 - 00:25:36] 就是在做的时候
[00:25:36 - 00:25:38] 你觉得
[00:25:38 - 00:25:38] 什么情况下
[00:25:38 - 00:25:41] 他是可以给你带来成就感的
[00:25:41 - 00:25:44] 肯定是一个好的
[00:25:44 - 00:25:46] 好的一个产品没有出现一个
[00:25:46 - 00:25:47] 很严重的一个bug
[00:25:47 - 00:25:50] 甚至我会主动去考虑用户体验
[00:25:50 - 00:25:51] 然后去
[00:25:51 - 00:25:55] 对整个产品的一个推动
[00:25:55 - 00:25:56] 更好的一个
[00:25:56 - 00:25:59] 对比近平
[00:25:59 - 00:26:00] 会有一个更好的一个
[00:26:00 - 00:26:01] 竞争力吧
[00:26:01 - 00:26:09] 那接下来的话
[00:26:09 - 00:26:11] 你在测试方面的话
[00:26:11 - 00:26:13] 有没有自己规划的
[00:26:13 - 00:26:14] 主要想继续去学什么东西
[00:26:14 - 00:26:17] 好就像你刚才提到那个
[00:26:17 - 00:26:18] UI
[00:26:18 - 00:26:19] UI
[00:26:19 - 00:26:20] UI这种话
[00:26:20 - 00:26:22] 我会这样去学习
[00:26:22 - 00:26:23] 还有
[00:26:23 - 00:26:24] 我其实
[00:26:24 - 00:26:25] 不仅想学
[00:26:25 - 00:26:27] 有这种话我想学那个
[00:26:27 - 00:26:28] 这支库
[00:26:28 - 00:26:29] 像
[00:26:29 - 00:26:31] 铁盒一下AI去自动生成用力
[00:26:31 - 00:26:33] 去辅助我
[00:26:33 - 00:26:35] 更好的一个测试用力
[00:26:35 - 00:26:36] 还有
[00:26:36 - 00:26:37] 我会用AI去
[00:26:37 - 00:26:41] 学我自己的测试脚本
[00:26:41 - 00:26:42] 像UI这种话也可以
[00:26:42 - 00:26:43] 然后测试
[00:26:43 - 00:26:45] 就这种话也可以
[00:26:45 - 00:26:46] 了解
[00:26:46 - 00:26:47] 更加
[00:26:47 - 00:26:49] 提高现在就AI的了解
[00:26:49 - 00:27:03] 刚刚听你说你对跨进电商有一定的兴趣
[00:27:03 - 00:27:04] 是基于
[00:27:04 - 00:27:06] 什么情况然后对
[00:27:06 - 00:27:07] 你再感兴趣
[00:27:07 - 00:27:09] 首先它符合我现在
[00:27:09 - 00:27:12] 一个订单一个系统的一个
[00:27:12 - 00:27:12] 情况
[00:27:12 - 00:27:14] 然后跨进电商的话
[00:27:14 - 00:27:16] 现在它也是挺活的嘛
[00:27:16 - 00:27:18] 像海南那边有出了一个新的政策
[00:27:18 - 00:27:20] 对跨电商有一个什么
[00:27:20 - 00:27:21] 有一个这样的一个政策
[00:27:21 - 00:27:23] 我就感觉跨电商这个
[00:27:23 - 00:27:25] 这个行业还是很有
[00:27:25 - 00:27:26] 犯的潜力的
[00:27:26 - 00:27:27] 所以我想
[00:27:27 - 00:27:28] 就去了解
[00:27:28 - 00:27:33] 可能其实我们公司的业务跟跨进电商没什么关系
[00:27:33 - 00:27:37] 虽然都是过关但是
[00:27:37 - 00:27:39] 它怎么双方不算跨进电商
[00:27:39 - 00:27:40] 但是
[00:27:40 - 00:27:43] 作为这说说引擎那些优化嘛
[00:27:43 - 00:27:45] 独立战那种建设
[00:27:45 - 00:27:45] 是的
[00:27:45 - 00:27:48] 这两天也了解过你们
[00:27:48 - 00:27:51] 详细了解过你们那种企业的间接
[00:27:51 - 00:27:54] 有看我们的产品观望吗
[00:27:54 - 00:27:55] 可能是有
[00:27:55 - 00:27:56] 看了是吧
[00:27:56 - 00:27:57] 对
[00:27:57 - 00:28:00] 那你的理解我们
[00:28:00 - 00:28:01] 你看了那个观望
[00:28:01 - 00:28:04] 它是什么产品
[00:28:04 - 00:28:06] 独立战那种
[00:28:06 - 00:28:08] 那个
[00:28:08 - 00:28:09] 这个英文我不知道怎么读了
[00:28:09 - 00:28:11] 现在忘了
[00:28:11 - 00:28:13] 就像建战的一个系统嘛
[00:28:13 - 00:28:15] 就是
[00:28:15 - 00:28:18] 观望说是war pass那一块
[00:28:18 - 00:28:19] 没有
[00:28:19 - 00:28:22] 没有什么淡沛缝缝那些
[00:28:22 - 00:28:23] 没有美感是出来了
[00:28:23 - 00:28:25] 我记得我在那个密室邀请他
[00:28:25 - 00:28:27] 是有给你发一个我们品牌
[00:28:27 - 00:28:29] 一个软件常识他的名
[00:28:29 - 00:28:31] 他的那颗观望
[00:28:31 - 00:28:32] 没事
[00:28:32 - 00:28:35] 你平时有什么新血爱好吗
[00:28:35 - 00:28:37] 新血爱好
[00:28:37 - 00:28:39] 研究AI
[00:28:39 - 00:28:40] 还有呢
[00:28:40 - 00:28:42] 还有
[00:28:42 - 00:28:45] 你可以说一些平时能够让你
[00:28:45 - 00:28:46] 放松心情
[00:28:46 - 00:28:49] 然后缓解压力的一些新血爱好
[00:28:49 - 00:28:51] 听歌吧
[00:28:51 - 00:28:53] 听歌听哪些类型的
[00:28:53 - 00:28:55] 听哪些类型
[00:28:55 - 00:28:57] 我都是随身
[00:28:57 - 00:28:58] 随自己听
[00:28:58 - 00:28:59] 每日
[00:28:59 - 00:29:00] 听那个每日人
[00:29:00 - 00:29:01] 哦
[00:29:01 - 00:29:03] 明白
[00:29:03 - 00:29:05] 个人没什么
[00:29:05 - 00:29:07] 很
[00:29:07 - 00:29:07] 很什么
[00:29:07 - 00:29:09] 新血爱好这样的情况
[00:29:09 - 00:29:14] 会打鱼吗
[00:29:14 - 00:29:17] 球吗
[00:29:17 - 00:29:18] 会打篮球
[00:29:18 - 00:29:19] 哦
[00:29:19 - 00:29:21] 我看见你
[00:29:21 - 00:29:22] 你现在是住在哪里吗
[00:29:22 - 00:29:23] 住在广州
[00:29:23 - 00:29:25] 广州关于
[00:29:25 - 00:29:26] 关于
[00:29:26 - 00:29:28] 你今天是直接从家里过来吗
[00:29:28 - 00:29:29] 还是
[00:29:29 - 00:29:30] 对
[00:29:30 - 00:29:31] 大概多久时间
[00:29:31 - 00:29:36] 一小时
[00:29:36 - 00:29:38] 目前是租房还是所加人
[00:29:38 - 00:29:39] 已经那个
[00:29:39 - 00:29:44] 租房
[00:29:44 - 00:29:46] 我想了解这新筹情况
[00:29:46 - 00:29:48] 就是你现在在职的时候
[00:29:48 - 00:29:50] 薪资是怎样的
[00:29:50 - 00:29:52] 中和薪资5K
[00:29:52 - 00:29:53] 中和是有
[00:29:53 - 00:29:55] 奖金吗
[00:29:55 - 00:29:57] 对 技效加低性
[00:29:57 - 00:29:59] 哦 技效是怎么算的呀
[00:29:59 - 00:30:02] 肯定是根据
[00:30:02 - 00:30:04] 很极个方面的
[00:30:04 - 00:30:06] 职业态度
[00:30:06 - 00:30:07] 还有一些
[00:30:07 - 00:30:09] 测试中立一个
[00:30:09 - 00:30:11] 详细的一个情况
[00:30:11 - 00:30:12] 还有一个
[00:30:12 - 00:30:15] 就线上露侧的一个
[00:30:15 - 00:30:16] 露侧一个部分
[00:30:16 - 00:30:19] 是否中和到里面
[00:30:19 - 00:30:20] 然后就沟通能力这样的情况
[00:30:20 - 00:30:21] 那他们每个月
[00:30:21 - 00:30:22] 放进去打分吗
[00:30:22 - 00:30:24] 是的
[00:30:24 - 00:30:26] 打分就是产品定位
[00:30:26 - 00:30:27] 对
[00:30:30 - 00:30:31] 那你现在的期望
[00:30:31 - 00:30:32] 其实是多少呢
[00:30:32 - 00:30:33] 我们这一边的话
[00:30:33 - 00:30:36] 就基本很多是固定的月息
[00:30:36 - 00:30:37] 嗯
[00:30:37 - 00:30:38] 多少吗
[00:30:38 - 00:30:40] 嗯
[00:30:40 - 00:30:41] 看看你期望的是多少
[00:30:41 - 00:30:42] 我期望
[00:30:42 - 00:30:43] 我觉得
[00:30:43 - 00:30:45] 现在的
[00:30:45 - 00:30:46] 我感觉这个星期
[00:30:46 - 00:30:47] 比较符合我
[00:30:47 - 00:30:48] 因为我现在只有6K
[00:30:48 - 00:30:50] 然后我现在经验也是比较浅
[00:30:50 - 00:30:51] 然后就是
[00:30:51 - 00:30:53] 6K已经很满足
[00:30:53 - 00:30:55] 我现在一个期望
[00:30:55 - 00:30:56] 明白
[00:31:00 - 00:31:02] 其实他
[00:31:02 - 00:31:03] 如果是不会踩掉的话
[00:31:03 - 00:31:04] 我也会
[00:31:04 - 00:31:06] 工作两年再出来找
[00:31:06 - 00:31:07] 找其他
[00:31:07 - 00:31:09] 更能提升自己的一个
[00:31:09 - 00:31:10] 情况
[00:31:10 - 00:31:11] 嗯
[00:31:11 - 00:31:13] 那可能是看到我现在一年
[00:31:13 - 00:31:14] 可能是比较不稳定
[00:31:14 - 00:31:15] 有问题
[00:31:15 - 00:31:16] 其实我也是想
[00:31:16 - 00:31:19] 做过两年再出来找工作的
[00:31:19 - 00:31:20] 再找一个像
[00:31:20 - 00:31:22] 真话测试更平
[00:31:22 - 00:31:23] 更
[00:31:23 - 00:31:25] 锻炼自己的能力
[00:31:30 - 00:31:31] 好的
[00:31:31 - 00:31:32] 那你这边有什么
[00:31:32 - 00:31:33] 想要了解我们的
[00:31:33 - 00:31:35] 嗯
[00:31:35 - 00:31:36] 这个
[00:31:36 - 00:31:38] 面试结果什么都出吗
[00:31:38 - 00:31:38] 嗯
[00:31:38 - 00:31:40] 我们需要
[00:31:40 - 00:31:41] 三个工作日
[00:31:41 - 00:31:41] 谱过一下
[00:31:41 - 00:31:42] 对
[00:31:42 - 00:31:43] 然后
[00:31:43 - 00:31:45] 也顺便说到就是
[00:31:45 - 00:31:46] 呃
[00:31:46 - 00:31:47] 之前跟你说过的
[00:31:47 - 00:31:49] 关于那个二面的面试观察
[00:31:49 - 00:31:50] 可能是要后面
[00:31:50 - 00:31:51] 就是我们这个英文
[00:31:51 - 00:31:52] 通过之后
[00:31:52 - 00:31:54] 他后面再电话跟你
[00:31:54 - 00:31:55] 交流一下就可以了
[00:31:55 - 00:31:56] 就不用你跑
[00:31:56 - 00:31:56] 第二堂
[00:31:56 - 00:31:56] 嗯
[00:31:56 - 00:32:03] 而且我有一个问题就想问到
[00:32:03 - 00:32:04] 技术面的技术面试观
[00:32:04 - 00:32:05] 我现在这份剪
[00:32:05 - 00:32:08] 我现在这个看到我这么简单的情况
[00:32:08 - 00:32:09] 还有什么需要
[00:32:09 - 00:32:10] 不足之处
[00:32:10 - 00:32:12] 而且可以提升自己的地方
[00:32:12 - 00:32:13] 就可能更
[00:32:13 - 00:32:15] 更符合公司这边的一个业务情况
[00:32:15 - 00:32:17] 嗯
[00:32:17 - 00:32:18] 其实你
[00:32:18 - 00:32:21] 结合我们公司这边的
[00:32:21 - 00:32:22] 其实你这个
[00:32:22 - 00:32:23] 因为
[00:32:23 - 00:32:26] 其实还算比较
[00:32:26 - 00:32:28] 贴合我们的一个业务场景的
[00:32:28 - 00:32:30] 因为其实我们现在的一个
[00:32:30 - 00:32:33] 虽然你从我们官网了解到我们是做一些
[00:32:33 - 00:32:34] 那个狼狸站跨
[00:32:34 - 00:32:35] 之类的
[00:32:35 - 00:32:35] 但是
[00:32:35 - 00:32:38] 因为之前我们的一个人员比较充足的情况下是
[00:32:38 - 00:32:40] 会有去测网站
[00:32:40 - 00:32:41] 一些
[00:32:41 - 00:32:43] 意外还原路啊或者什么网站一些
[00:32:43 - 00:32:44] seo的优化功能
[00:32:44 - 00:32:45] 但是因为后面
[00:32:45 - 00:32:48] 业务缩减了我们现在的一个
[00:32:48 - 00:32:50] 测试人员主要是去负责
[00:32:50 - 00:32:52] 刚才提到了支付那一块的
[00:32:52 - 00:32:54] 因为我们其实产品比较特殊
[00:32:54 - 00:32:55] 我们
[00:32:55 - 00:32:58] 国外的他的一个支付环境又有点
[00:32:58 - 00:32:58] 嗯
[00:32:58 - 00:33:00] 没有国内将
[00:33:00 - 00:33:03] 微信支付宝那么简单就去接入进来会比较特殊
[00:33:03 - 00:33:05] 所以我们自己是做了一个
[00:33:05 - 00:33:06] 支付中台
[00:33:06 - 00:33:07] 他会面向
[00:33:07 - 00:33:09] 接了国外比较多的一些
[00:33:09 - 00:33:10] 呃
[00:33:10 - 00:33:11] 收班嘛
[00:33:11 - 00:33:14] 叫我们我们叫收班就是各类的一个
[00:33:14 - 00:33:15] 银行然后
[00:33:15 - 00:33:19] 又会针对于我们那个总裁上的一些商品
[00:33:19 - 00:33:22] 做各种的一个促销包括刚才提到的什么
[00:33:22 - 00:33:23] 首约优惠啊之类的
[00:33:23 - 00:33:26] 以及就是各商品的组合
[00:33:26 - 00:33:29] 所以我们的测试人员去
[00:33:29 - 00:33:31] 呃
[00:33:31 - 00:33:33] 主要负责的是这块的一个业务
[00:33:33 - 00:33:36] 然后如果说说到你一些个人的话
[00:33:36 - 00:33:39] 我觉得能够去提升的就是
[00:33:39 - 00:33:43] 或者说结合我们的需要去提升的就是一些
[00:33:43 - 00:33:44] 呃
[00:33:44 - 00:33:45] 像刚才提到一些意外之动化
[00:33:45 - 00:33:47] 因为我们
[00:33:47 - 00:33:49] 像我们的话一个中台
[00:33:49 - 00:33:51] 他他上了一个新的支付
[00:33:51 - 00:33:54] 那我们是整个流程是要去回归测试的
[00:33:54 - 00:33:56] 我们有好多种支付方式
[00:33:56 - 00:33:58] 那你如果每次都是
[00:33:58 - 00:34:00] 那样去输信用卡
[00:34:00 - 00:34:03] 输有支付券怎么的
[00:34:03 - 00:34:05] 一套下来的话手动计点的话是会比较
[00:34:05 - 00:34:07] 呃
[00:34:07 - 00:34:08] 费时间的
[00:34:08 - 00:34:08] 也比较
[00:34:08 - 00:34:11] 然后我们的一个机制中台是
[00:34:11 - 00:34:12] 那个
[00:34:12 - 00:34:15] 购物词页面是比较少有变动的
[00:34:15 - 00:34:16] 所以
[00:34:16 - 00:34:19] 以外我们这这边的话确实比
[00:34:19 - 00:34:21] 是
[00:34:21 - 00:34:23] 需要就是说呃那种意外之动化的
[00:34:23 - 00:34:27] 就能够提高去能够效率
[00:34:27 - 00:34:30] 主要是用什么意外之动化款价吗
[00:34:30 - 00:34:32] 呃这个也没定这个
[00:34:32 - 00:34:33] 看
[00:34:33 - 00:34:35] 测试人员自己我们
[00:34:35 - 00:34:38] 因为我是我是属于偏后端的
[00:34:38 - 00:34:40] 我不是测试人员的一个
[00:34:40 - 00:34:43] 那个管管专门管测试人员的
[00:34:43 - 00:34:46] 然后这个的话看测试人员自己的一个发挥
[00:34:46 - 00:34:48] 因为呃
[00:34:48 - 00:34:50] 每次给到的一个需要给你
[00:34:50 - 00:34:53] 测的一共多量是这个人需要自己去思考
[00:34:53 - 00:34:55] 你怎样通过什么东西
[00:34:55 - 00:34:58] 能够自己去提高这个效率
[00:34:58 - 00:35:00] 不限制
[00:35:00 - 00:35:02] 工具也不限制见没见吗
[00:35:02 - 00:35:02] 不限制
[00:35:02 - 00:35:05] 你需要的话工具可以向工具申请
[00:35:05 - 00:35:07] 包括你说的那些口袋审的话
[00:35:07 - 00:35:09] 工具都是可以开开出来的
[00:35:09 - 00:35:15] 还有吗
[00:35:15 - 00:35:16] 嗯没有了
[00:35:16 - 00:35:18] 那你6月初离职的
[00:35:18 - 00:35:21] 准确的是几号吗
[00:35:21 - 00:35:22] 6月9号
[00:35:22 - 00:35:24] 哦好感谢
[00:35:24 - 00:35:26] 哦其实现在还在你这什么
[00:35:26 - 00:35:27] 嗯对
[00:35:27 - 00:35:29] 在这样的地方中
[00:35:29 - 00:35:31] 没关系
[00:35:31 - 00:35:32] ok
[00:35:32 - 00:35:33] 那我们今天就先聊到这里了
[00:35:33 - 00:35:36] 然后后续的话我就在mouse上面来跟你
[00:35:36 - 00:35:38] 会觉得进度以及结果
[00:35:38 - 00:35:39] 好
[00:35:39 - 00:35:40] 好那你这边带起东西
[00:35:40 - 00:35:42] 然后呃下到一楼之后
[00:35:42 - 00:35:45] 你靠进一个掌机它就会之中打开的了
[00:35:48 - 00:35:49] 嗯
[00:36:18 - 00:36:20] (字幕制作:贝尔)
